nume_actiune,timestamp
adaugaAbonament,2026-05-14T18:14:37.609396200
adaugaAbonament,2026-05-14T18:14:37.622392400
adaugaCititor,2026-05-14T18:14:37.623393200
adaugaCititor,2026-05-14T18:14:37.624391100
adaugaBibliotecar,2026-05-14T18:14:37.624391100
adaugaBibliotecar,2026-05-14T18:14:37.625388300
adaugaCarte,2026-05-14T18:14:37.626390
adaugaCarte,2026-05-14T18:14:37.626390
adaugaCarte,2026-05-14T18:14:37.627390
adaugaCarte,2026-05-14T18:14:37.627390
afiseazaCarti,2026-05-14T18:14:37.628397100
cautaCarteDupaTitlu,2026-05-14T18:14:37.633426
afiseazaCartiDisponibile,2026-05-14T18:14:37.634425600
afiseazaCartiSortate,2026-05-14T18:14:37.636392900
imprumutaCarte,2026-05-14T18:14:37.637390300
afiseazaImprumuturiActive,2026-05-14T18:14:37.639389600
rezervaCarte,2026-05-14T18:14:37.644394700
afiseazaRezervari,2026-05-14T18:14:37.646394
afiseazaCartiDupaAutor,2026-05-14T18:14:37.650410300
afiseazaCartiDupaSectiune,2026-05-14T18:14:37.651408600
imprumutaCarte,2026-05-14T18:14:37.652410700
genereazaPenalizareIntarziere,2026-05-14T18:14:37.653410100
afiseazaPenalizari,2026-05-14T18:14:37.659409400
platestePenalizare,2026-05-14T18:14:37.664415500
returneazaCarte,2026-05-14T18:14:37.666411600
anuleazaRezervare,2026-05-14T18:14:37.668414800
afiseazaRezervari,2026-05-14T18:14:37.669412600
afiseazaPenalizari,2026-05-14T18:14:37.670411900
read_all_autori,2026-05-14T19:08:37.024896300
read_all_sectiuni,2026-05-14T19:08:37.049424800
read_all_cititori,2026-05-14T19:08:37.051424100
read_all_carti,2026-05-14T19:08:37.056434
read_all_autori,2026-05-14T20:11:39.434146100
read_all_sectiuni,2026-05-14T20:11:39.451147700
read_all_cititori,2026-05-14T20:11:39.454147800
read_all_carti,2026-05-14T20:11:39.458800700
